"lot_date","khaosod","manager","matichon","thairath"
2016-09-01 16:00:00,0,3,1,5
2016-09-16 16:00:00,9,1,0,14
2016-10-01 16:00:00,14,6,4,15
2016-10-16 16:00:00,11,1,2,11
2016-11-01 16:00:00,5,0,1,8
2016-11-16 16:00:00,5,3,0,6
2016-12-01 16:00:00,5,2,2,2
2016-12-16 16:00:00,6,2,2,3
2016-12-30 16:00:00,10,1,0,6
2017-01-17 16:00:00,10,1,4,11
2017-02-01 16:00:00,12,1,3,15
2017-02-16 16:00:00,11,2,4,8
2017-03-01 16:00:00,11,3,2,9
2017-03-16 16:00:00,20,2,5,21
2017-04-01 16:00:00,15,1,6,17
2017-04-16 16:00:00,7,3,0,6
2017-05-02 16:00:00,14,6,4,27
2017-05-16 16:00:00,20,11,6,23
2017-06-01 16:00:00,22,12,5,24
2017-06-16 16:00:00,12,8,2,29
2017-07-01 16:00:00,12,13,7,16
2017-07-16 16:00:00,10,3,2,7
2017-08-01 16:00:00,6,8,1,22
2017-08-16 16:00:00,10,4,5,11
2017-09-01 16:00:00,13,3,7,11
